timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752986184,15,HTTP Request,200,OK,Thread Group 1-222,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,15,0,1
1740752986185,14,HTTP Request,200,OK,Thread Group 1-223,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,14,0,0
1740752986161,40,HTTP Request,200,OK,Thread Group 1-210,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,40,0,0
1740752986165,39,HTTP Request,200,OK,Thread Group 1-212,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986161,44,HTTP Request,200,OK,Thread Group 1-211,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,44,0,0
1740752986189,19,HTTP Request,200,OK,Thread Group 1-225,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,19,0,0
1740752986179,29,HTTP Request,200,OK,Thread Group 1-220,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,29,0,0
1740752986195,13,HTTP Request,200,OK,Thread Group 1-228,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,13,0,0
1740752986187,25,HTTP Request,200,OK,Thread Group 1-224,text,true,,307,257,12,12,http://localhost/exam/Exo1/src/api.php,25,0,0
1740752986177,35,HTTP Request,200,OK,Thread Group 1-219,text,true,,307,257,12,12,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752986205,7,HTTP Request,200,OK,Thread Group 1-233,text,true,,307,257,12,12,http://localhost/exam/Exo1/src/api.php,7,0,0
1740752986205,16,HTTP Request,200,OK,Thread Group 1-232,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,16,0,0
1740752986200,23,HTTP Request,200,OK,Thread Group 1-231,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,23,0,1
1740752986198,27,HTTP Request,200,OK,Thread Group 1-230,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,27,0,1
1740752986196,32,HTTP Request,200,OK,Thread Group 1-229,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,32,0,1
1740752986193,35,HTTP Request,200,OK,Thread Group 1-227,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752986192,36,HTTP Request,200,OK,Thread Group 1-226,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,36,0,0
1740752986217,11,HTTP Request,200,OK,Thread Group 1-239,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,11,0,0
1740752986220,17,HTTP Request,200,OK,Thread Group 1-240,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,17,0,0
